v_idx, sample, gene, unitig, mask, mask_degen, haplos, X, X_est, R2, tau
6,2,COG0016,15,1.0,1.0,1,1.8312545405405405,1.8699280576924915,0.06378724078634823,0.1568031290286875
6,3,COG0016,15,1.0,1.0,1,0.0,0.5975011415278633,0.3685621898891646,0.17171089207660084
6,4,COG0016,15,1.0,1.0,1,0.0,0.63044398742424,0.405757141876845,0.17171089207660084
6,5,COG0016,15,1.0,1.0,1,2.7468736486486485,0.6374624056237954,4.4593058706975,0.14987037811490816
7,0,COG0016,17,1.0,1.0,0_1,35.093783783783785,30.105838732969804,28.448467805719503,0.03286053290474415
7,1,COG0016,17,1.0,1.0,0_1,9.868594594594596,18.76869967283011,80.74102811563226,0.10588452794910287
7,2,COG0016,17,1.0,1.0,0_1,22.894432432432435,12.591965116436336,106.86408744429143,0.057194748187350625
7,3,COG0016,17,1.0,1.0,0_1,3.537481081081081,5.452453707388107,3.856517414910462,0.14414593292957278
7,4,COG0016,17,1.0,1.0,0_1,4.8268432432432435,3.0369953256177373,3.274838636441455,0.1353028199710578
7,5,COG0016,17,1.0,1.0,0_1,11.339783783783783,3.924337547833349,55.09430998464853,0.09864487106015812
9,0,COG0016,21,1.0,1.0,1,9.365550540540541,4.459667723902491,24.402230993120703,0.10848802473373066
9,1,COG0016,21,1.0,1.0,1,0.6801795,2.616990641502774,3.883653779492219,0.16600526678921845
9,2,COG0016,21,1.0,1.0,1,0.0,1.8774397663718232,3.591757794442867,0.17171089207660084
9,3,COG0016,21,1.0,1.0,1,4.76125445945946,0.6004965448220526,17.325490022400658,0.1357384549484328
9,4,COG0016,21,1.0,1.0,1,0.0,0.6324732404769692,0.408037289492202,0.17171089207660084
9,5,COG0016,21,1.0,1.0,1,0.7848225,0.6398697628306544,0.03095069564873695,0.16514549095003703
10,0,COG0016,23,1.0,1.0,0,3.531706351351352,7.129213723733178,13.561860451613496,0.1441868929494184
10,1,COG0016,23,1.0,1.0,0,5.179830540540541,4.600762183937536,0.5989616878532529,0.13298368367734523
10,2,COG0016,23,1.0,1.0,0,4.447337702702702,2.9702096911142783,2.296613616430691,0.13784419808288573
10,3,COG0016,23,1.0,1.0,0,0.0,1.4894353511916174,2.248773651347506,0.17171089207660084
10,4,COG0016,23,1.0,1.0,0,0.0,0.5444468840679276,0.3031268493676743,0.17171089207660084
10,5,COG0016,23,1.0,1.0,0,1.7004497702702703,0.8732787529096563,0.6970146934635854,0.15782100821629522
8,0,COG0016,19,1.0,1.0,0_1,11.933357837837839,15.575276509728024,14.506816617532332,0.0958747898751029
8,1,COG0016,19,1.0,1.0,0_1,6.821981486486487,9.709999768657303,8.864484458353902,0.1227367414122381
8,2,COG0016,19,1.0,1.0,0_1,7.982726216216218,6.514461869968267,2.3997120426239924,0.11600203225736506
8,3,COG0016,19,1.0,1.0,0_1,5.21321972972973,2.820830700061488,5.784890629517352,0.1327665131005027
8,4,COG0016,19,1.0,1.0,0_1,0.0,1.5711916341146768,2.4905078013980377,0.17171089207660084
8,5,COG0016,19,1.0,1.0,0_1,2.1585957702702703,2.0302587470541122,0.049471584164331756,0.1542862926776852
