contig	sample1	sample10	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
NODE_210_length_5688_cov_105.782926	20.9521637	13.8091803	38.5780869	32.4799500	14.5195217	7.4595499	29.6618004	21.6415749	33.8135757	18.6508961
NODE_211_length_5659_cov_92.067359	19.5890045	14.8062582	34.7258263	27.9581051	10.8852749	7.7219377	24.5743332	18.6917095	28.9259319	17.0843201
NODE_212_length_5617_cov_25.980325	8.6101513	1.5449688	7.6603742	12.2404270	1.7843277	1.3577917	4.3392696	2.1257346	14.3798752	3.6236866
NODE_213_length_5586_cov_13.205119	10.7691622	0.0537249	7.5924067	5.2129297	2.6823065	1.2611032	1.6104943	0.3176934	0.0000000	0.0535458
NODE_214_length_5569_cov_19.402039	5.7831864	3.5467937	3.3116579	5.0547872	1.6984013	2.9838333	4.6243939	2.2522004	3.1230466	2.0463445
NODE_215_length_5487_cov_118.465989	25.2481308	15.2300825	44.1761169	34.7090263	15.8663626	8.4470377	32.3810387	23.2563362	37.8105736	21.4884224
NODE_216_length_5420_cov_78.433277	16.0767803	12.5413437	30.2897739	23.4525661	10.0557404	7.0166111	21.3672943	14.7017345	26.3086014	12.8126612
NODE_217_length_5416_cov_123.825997	26.1038055	18.4074631	48.6693764	37.2028084	16.0938301	11.2050238	36.0066490	22.2214622	39.9052467	24.3843746
NODE_218_length_5389_cov_14.184676	4.4481158	0.3341377	3.6445146	7.3424911	1.1863747	0.3894561	1.6122146	0.8346018	10.4286242	1.3905699
NODE_219_length_5368_cov_89.483273	16.2974281	11.5758476	30.5777111	25.4435329	10.5333586	6.9621692	22.9079380	15.6589642	26.4513607	13.3872528
NODE_220_length_5361_cov_78.193036	16.1873493	11.9098711	29.4575481	22.2879276	9.9223738	6.4931889	23.0182877	16.4521370	25.9966412	13.0024261
NODE_221_length_5358_cov_58.118159	13.3982449	9.9243841	23.0662804	15.3489542	6.0772963	4.7156458	13.5132561	12.2892084	17.8263626	12.1994028
NODE_222_length_5281_cov_96.693889	20.3354797	13.6743698	38.3646507	27.4320889	11.6991854	7.8350067	29.3777237	21.2108345	28.1468086	19.2646332
NODE_223_length_5273_cov_114.643957	23.1540508	17.6148739	43.7408447	35.6154442	14.8190098	9.4997158	30.9762859	22.7787895	34.9117813	20.2149506
NODE_224_length_5266_cov_69.352862	14.2313833	8.7870445	23.3434658	21.2416420	7.9014058	6.0581307	20.1039143	13.8660717	22.9289513	13.3799391
NODE_225_length_5172_cov_108.667321	24.6773701	16.6632500	37.7746620	33.5940056	12.2435207	7.8781433	30.2667313	21.7516441	33.6245651	21.6880074
NODE_226_length_5168_cov_8.880574	5.4754162	0.0000000	4.9992256	4.2704220	2.6161439	0.9872242	0.4936121	0.0580720	0.0000000	0.0000000
NODE_227_length_5126_cov_49.304813	10.8969555	6.8106947	17.3557758	15.9986343	6.9715066	3.4498439	12.8616314	9.9676037	16.0977745	8.0464478
