v_idx, sample, gene, unitig, mask, mask_degen, haplos, X, X_est, R2, tau
246,8,COG0092,89,1.0,1.0,0_1,2.273418783783784,8.23609039132123,35.962673825334385,0.10761068861336157
246,9,COG0092,89,1.0,1.0,0_1,1.299098635135135,6.305937429510567,25.37593985759413,0.11478826773893729
259,0,COG0092,115,1.0,1.0,2,4.036852432432433,8.638057827280564,21.71061959747671,0.09582878536344262
259,1,COG0092,115,1.0,1.0,2,13.28255918918919,4.8421380684890325,71.44037397865542,0.053170611879820126
259,2,COG0092,115,1.0,1.0,2,25.740381081081082,15.33121893611293,109.79817748825309,0.025249286511894713
259,3,COG0092,115,1.0,1.0,2,9.20228972972973,12.248690632093414,10.278481791721738,0.06868831186977696
259,4,COG0092,115,1.0,1.0,2,4.080255135135135,4.2400824041643554,0.1818210004173584,0.0955570850025849
259,5,COG0092,115,1.0,1.0,2,5.859952162162163,3.0919487622345363,7.752303202477874,0.08510677745477234
259,6,COG0092,115,1.0,1.0,2,9.115484324324324,10.951546250969662,4.139000375053631,0.0690681165347554
259,7,COG0092,115,1.0,1.0,2,7.466009729729729,8.19908331603809,0.9946048173677635,0.07673836263207888
259,8,COG0092,115,1.0,1.0,2,19.316064864864867,13.115662922501638,39.55317656895258,0.03681563955867465
259,9,COG0092,115,1.0,1.0,2,12.197377027027027,6.763736574450512,29.875943502915757,0.05688413179230751
260,0,COG0092,117,1.0,1.0,2,0.6007878513513514,7.374315697928268,46.31856417106214,0.12025176057410364
260,1,COG0092,117,1.0,1.0,2,11.087270405405407,4.133736603298267,48.5109246692255,0.06097855686906741
260,2,COG0092,117,1.0,1.0,2,18.842905405405407,13.088271917448376,34.29660819292513,0.03787445261915264
260,3,COG0092,117,1.0,1.0,2,7.045608108108109,10.456715345614974,12.449019964217682,0.07883859713621272
260,4,COG0092,117,1.0,1.0,2,2.894702837837838,3.6197611835766015,0.6499330701735906,0.10328926167847395
260,5,COG0092,117,1.0,1.0,2,5.51632445945946,2.6395987695024306,8.347063743196264,0.0870233821603049
260,6,COG0092,117,1.0,1.0,2,6.554054054054054,9.349342407882974,8.437573035861856,0.0813740673411576
260,7,COG0092,117,1.0,1.0,2,6.171729864864865,6.999562881250358,1.055489558951497,0.08340753941313865
260,8,COG0092,117,1.0,1.0,2,14.364258108108107,11.196850242035799,10.936811890055406,0.04973148130495572
260,9,COG0092,117,1.0,1.0,2,9.448756891891893,5.774206517379726,13.78522256766879,0.06762229814901129
257,0,COG0092,111,1.0,1.0,0_1_2,17.815033783783786,13.438630024891502,19.69673872973752,0.040291790935070015
257,1,COG0092,111,1.0,1.0,0_1_2,8.193412162162163,8.961536650180218,0.884450989815641,0.07324703628251902
257,2,COG0092,111,1.0,1.0,0_1_2,32.548141891891895,24.64469344107843,63.94192964297571,0.017199640264027004
257,3,COG0092,111,1.0,1.0,0_1_2,14.432432432432433,19.21113360749111,23.811112179009463,0.04952304067241468
257,4,COG0092,111,1.0,1.0,0_1_2,9.09543918918919,7.2890247095137255,3.468312989040152,0.06915614649970658
257,5,COG0092,111,1.0,1.0,0_1_2,3.3826013513513518,4.895138224467915,2.40769080733434,0.10002779196798646
257,6,COG0092,111,1.0,1.0,0_1_2,23.227195945945947,17.251520307731447,36.50435603116952,0.029212456540554172
257,7,COG0092,111,1.0,1.0,0_1_2,21.64864864864865,12.52121242859264,83.78246661184836,0.03205033411689137
257,8,COG0092,111,1.0,1.0,0_1_2,19.39358108108108,18.999514444285705,1.1584020149478422,0.03664530080524264
257,9,COG0092,111,1.0,1.0,0_1_2,13.98141891891892,11.983255171296737,4.445388339000329,0.050919994939695054
261,0,COG0093,3,1.0,1.0,0_1_2,103.3801081081081,95.84475460671727,133.97672899229892,0.0007568063501992614
261,1,COG0093,3,1.0,1.0,0_1_2,87.21918472972973,65.00775549590165,514.0199910368344,0.001356035331772327
261,2,COG0093,3,1.0,1.0,0_1_2,203.66860540540543,176.8644101982913,899.4642635473393,7.638715139229831e-05
261,3,COG0093,3,1.0,1.0,0_1_2,151.19428243243243,137.22466771805352,335.8684546346624,0.00019672765187257383
261,4,COG0093,3,1.0,1.0,0_1_2,51.85014283783784,52.267269247921114,20.57717314820597,0.006304139790173854
261,5,COG0093,3,1.0,1.0,0_1_2,50.46407648648648,35.33173455937188,237.68978690705364,0.006747820627731903
261,6,COG0093,3,1.0,1.0,0_1_2,164.59854864864866,123.80525207500892,1756.4843377639245,0.0001474289305680227
261,7,COG0093,3,1.0,1.0,0_1_2,106.45772972972973,89.35642649600523,357.63281649392445,0.0006825761499116389
261,8,COG0093,3,1.0,1.0,0_1_2,175.94640405405406,135.93430137435965,1731.6167489113805,0.00011859823424327028
261,9,COG0093,3,1.0,1.0,0_1_2,106.77685810810812,86.52916156570993,448.16167635577403,0.0006754024922003504
262,0,COG0096,3,1.0,1.0,0_1_2,7.933738378378378,11.203380013444239,11.524838060341239,0.07447310743684295
262,1,COG0096,3,1.0,1.0,0_1_2,10.155192432432433,8.579345783965945,2.804092573423963,0.06466563369616664
262,2,COG0096,3,1.0,1.0,0_1_2,32.46036756756757,21.654108242399474,118.95181551380068,0.01728323313289136
262,3,COG0096,3,1.0,1.0,0_1_2,20.401005405405407,16.22808012522263,18.95306147445231,0.034508614904216035
262,4,COG0096,3,1.0,1.0,0_1_2,3.8081989189189187,6.363986609095263,6.780764704481206,0.09727409330852917
262,5,COG0096,3,1.0,1.0,0_1_2,1.6774216216216218,4.503290536408829,8.108727332994677,0.11194132872791325
262,6,COG0096,3,1.0,1.0,0_1_2,9.520483243243243,15.154571314657353,32.86456668521837,0.06731547127311105
